Author,Date,Favorites,Hashtags,Query,Retweets,Tweet,URL
'Guardian US',2020-11-08,32,['[]'],Who won the elections?,5,Joe Biden calls for unity in victory speech after election win https://t.co/yYXU8hweHn,https://twitter.com/twitter/statuses/[1325257784242401282]
'TEAKINS',2020-12-06,0,"[""[{'text': '2020Election', 'indices': [63, 76]}, {'text': '4MoreYears', 'indices': [77, 88]}, {'text': 'Trump2020', 'indices': [89, 99]}]""]",Who won the elections?,0,Does anyone out there actually believe Biden won the election? #2020Election #4MoreYears #Trump2020,https://twitter.com/twitter/statuses/[1335671026894712832]
'Bloomberg Politics',2020-11-08,51,['[]'],Who won the elections?,13,"Democratic Representative Abigail Spanberger won re-election to the Virginia seat she flipped in 2018, AP projects https://t.co/QQWHCNmhi7",https://twitter.com/twitter/statuses/[1325516184515702784]
'Joe Biden',2020-11-04,696524,['[]'],Who won the elections?,45410,We feel good about where we are. We believe we are on track to win this election.,https://twitter.com/twitter/statuses/[1323868327744253952]
'HuffPost Politics',2020-11-08,108,['[]'],Who won the elections?,24,President-elect Joe Biden addresses the nation after clinching the necessary 270 electoral college votes to win the 2020 election. https://t.co/Tfx2cU2Wv4,https://twitter.com/twitter/statuses/[1325238677124026370]
'Guardian US',2020-11-08,7,['[]'],Who won the elections?,1,How do you feel? Share your reaction to Joe Biden winning the US election https://t.co/lGniacc58i,https://twitter.com/twitter/statuses/[1325433893709770752]
'Guardian US',2020-11-08,7,['[]'],Who won the elections?,0,How do you feel? Share your reaction to Joe Biden winning the US election https://t.co/GY5WsXJwkj,https://twitter.com/twitter/statuses/[1325393613526884353]
'HuffPost Politics',2020-11-01,7,['[]'],Who won the elections?,2,"""Heres how food will play a role in the 2020 election. https://t.co/sm4mzYprAc""",https://twitter.com/twitter/statuses/[1322771244270395394]
'Bloomberg Politics',2020-11-04,0,['[]'],Who won the elections?,173,"RT @business: BREAKING: Joe Biden is projected to win the key battleground state of Minnesota, AP reports https://t.co/Zwa3aVOMTI #Election…",https://twitter.com/twitter/statuses/[1323856511530139648]
'Guardian US',2020-11-08,4,['[]'],Who won the elections?,3,How do you feel? Share your reaction to Joe Biden winning the US election https://t.co/lGniactGwS,https://twitter.com/twitter/statuses/[1325479191924649984]
'Weird World Wire',2020-12-05,0,"[""[{'text': 'AdolphHitler', 'indices': [0, 13]}, {'text': 'USAElections2020', 'indices': [59, 76]}]""]",Who won the elections?,0,#AdolphHitler Wins Election in Namibia and you thought the #USAElections2020 was funny https://t.co/DnMxc00tfO,https://twitter.com/twitter/statuses/[1335103592500432898]
'Joe Biden',2020-11-04,1957764,['[]'],Who won the elections?,189629,"Keep the faith, guys. We’re gonna win this.",https://twitter.com/twitter/statuses/[1323865811031785472]
'CNN Politics',2020-11-04,173,"[""[{'text': 'CNNElection', 'indices': [85, 97]}]""]",Who won the elections?,37,CNN PROJECTION: Donald Trump wins Alabama and South Carolina https://t.co/bBAN3mHlmO #CNNElection https://t.co/A5eXJ3cGrc,https://twitter.com/twitter/statuses/[1323820282071732224]
'CNN Politics',2020-11-04,240,"[""[{'text': 'CNNElection', 'indices': [63, 75]}]""]",Who won the elections?,61,CNN PROJECTION: Donald Trump wins Ohio https://t.co/8J9tXU2i9g #CNNElection https://t.co/88PBdcsSRl,https://twitter.com/twitter/statuses/[1323853490666557440]
'Guardian US',2020-11-07,52,['[]'],Who won the elections?,7,Joe Biden beats Donald Trump to win US election – live 2020 updates\n https://t.co/EY7wQIQAF9,https://twitter.com/twitter/statuses/[1325114066977828869]
'Guardian US',2020-11-07,60,['[]'],Who won the elections?,12,Joe Biden beats Donald Trump to win US election – live 2020 updates\n https://t.co/K7gWnLtjrW,https://twitter.com/twitter/statuses/[1325114929188319236]
'Guardian US',2020-11-04,3,['[]'],Who won the elections?,0,2020 election: what we know so far https://t.co/AN9WyW3SA8,https://twitter.com/twitter/statuses/[1323795139224084480]
'CNN Politics',2020-11-04,146,"[""[{'text': 'CNNElection', 'indices': [63, 75]}]""]",Who won the elections?,25,CNN PROJECTION: Donald Trump wins Ohio https://t.co/8J9tXU2i9g #CNNElection https://t.co/a7BYwaYRhP,https://twitter.com/twitter/statuses/[1323855550690545664]
'Guardian US',2020-10-30,1,['[]'],Who won the elections?,3,First Thing election special: could 2020 be 2016 all over again? https://t.co/xUNPFaZatK,https://twitter.com/twitter/statuses/[1322142278765477888]
'Bloomberg Politics',2020-11-04,0,"[""[{'text': 'Election2020', 'indices': [95, 108]}]""]",Who won the elections?,63,RT @business: BREAKING: Senate Republican leader Mitch McConnell wins Kentucky re-election bid #Election2020 https://t.co/js0hCy4hbC https:…,https://twitter.com/twitter/statuses/[1323793155897085955]
'Joe Biden',2020-11-04,1172509,['[]'],Votes count,131898,Count every vote.,https://twitter.com/twitter/statuses/[1324066382846320641]
'Bernie Sanders',2020-11-04,88208,['[]'],Votes count,10769,Count every vote. https://t.co/gYpZtR9972,https://twitter.com/twitter/statuses/[1324111683988672512]
'Joe Biden',2020-11-05,234731,['[]'],Votes count,20920,Every vote must be counted. https://t.co/kWLGRfeePK,https://twitter.com/twitter/statuses/[1324341948568621056]
'The New York Times',2020-11-07,495,['[]'],Votes count,50,"See where the vote count in Nevada stands now, and follow live election results here.\nhttps://t.co/4O5Y22TR5Z",https://twitter.com/twitter/statuses/[1324904419016708096]
'The New York Times',2020-11-07,786,['[]'],Votes count,68,"See where the vote count in Nevada stands now, and follow live election results here.\nhttps://t.co/eSLpINX2K9",https://twitter.com/twitter/statuses/[1324977418843660288]
'Joe Biden',2020-11-04,511611,['[]'],Votes count,47447,"Every vote must be counted. No one is going to take our democracy away from us, not now, not ever.",https://twitter.com/twitter/statuses/[1324107906246086656]
'The Washington Post',2020-11-04,247,['[]'],Votes count,64,Analysis: Where votes are still being counted https://t.co/yYYChPmTBS,https://twitter.com/twitter/statuses/[1323985875915649024]
'Joe Biden',2020-11-05,916798,['[]'],Votes count,60074,"Be patient, folks. Votes are being counted, and we feel good about where we are.",https://twitter.com/twitter/statuses/[1324406121721786369]
