Favorites,Query,Tweet,Date,Author,URL,Retweets,Hashtags
101,Who won the elections?,Election Day guide: A rundown of what you need to know about the 2020 election https://t.co/TpdRdhEVaC,2020-11-03,'The Washington Post',https://twitter.com/twitter/statuses/[1323638593001316352],22,['[]']
5,Who won the elections?,"""Trumps election day director is waging war on the election in Philadelphia https://t.co/nAyibj5V5t""",2020-10-28,'Guardian US',https://twitter.com/twitter/statuses/[1321394892011089923],4,['[]']
3637,Who won the elections?,"Federal Election Commission official: ""There really has been no evidence of fraud"" in the election https://t.co/YQWb65CiNf https://t.co/RCOzAF3kSn",2020-11-07,'CNN Politics',https://twitter.com/twitter/statuses/[1325091830761984000],755,['[]']
0,Who won the elections?,"RT @bopinion: As Election Week drags into Election Month, there are signs of hope https://t.co/9FsG3FBSmj",2020-11-06,'Bloomberg Politics',https://twitter.com/twitter/statuses/[1324857405587546113],11,['[]']
7,Who won the elections?,"""The 2020 election is like no other, but its still possible a winner will be known on election night. Or not. https://t.co/jIim1EzI29""",2020-11-01,'HuffPost Politics',https://twitter.com/twitter/statuses/[1323006670583332864],2,['[]']
0,Who won the elections?,"He is delusional, he is ranting....you lost the election to President Elect Joe Biden. @realDonaldTrump #uselectionresults #TrumpIsPathetic",2020-11-29,'Mashamohla',https://twitter.com/twitter/statuses/[1333124817084674049],0,"[""[{'text': 'uselectionresults', 'indices': [104, 122]}, {'text': 'TrumpIsPathetic', 'indices': [123, 139]}]""]"
133,Who won the elections?,"""Fact check: President Trumps top election falsehoods to watch for on Election Day https://t.co/U7Svr8hCaj https://t.co/sudnEjelsm""",2020-11-03,'CNN Politics',https://twitter.com/twitter/statuses/[1323581462902427649],44,['[]']
126,Who won the elections?,"""Fact check: President Trumps top election falsehoods to watch for on Election Day https://t.co/KUbIAaZYVy https://t.co/jDnRD1WOvx""",2020-11-02,'CNN Politics',https://twitter.com/twitter/statuses/[1323302121018720256],60,['[]']
0,Who won the elections?,"Before election, after election, same crap. He and his bots gotta go. #2020Election #MAGA #TrumpTantrum #Cult45 #BidenHarris #MyPresident https://t.co/xylfR9pWKJ",2020-12-06,'Deniz Turkmen',https://twitter.com/twitter/statuses/[1335680967529271296],0,"[""[{'text': '2020Election', 'indices': [70, 83]}, {'text': 'MAGA', 'indices': [84, 89]}, {'text': 'TrumpTantrum', 'indices': [90, 103]}, {'text': 'Cult45', 'indices': [104, 111]}, {'text': 'BidenHarris', 'indices': [112, 124]}, {'text': 'MyPresident', 'indices': [125, 137]}]""]"
2,Who won the elections?,"""Tomorrow is an election day. Elect one girlfriend na wagyimi dodo womanizing wont help you #2020Election""",2020-12-06,'Abuakwa_Charlie_Chaplin👅🔞',https://twitter.com/twitter/statuses/[1335658950495260672],0,"[""[{'text': '2020Election', 'indices': [92, 105]}]""]"
323,Who won the elections?,"Here’s where things stand on Election Day 3, when you can expect final results, and how to follow along as the election unfolds.\nhttps://t.co/XRrKVJvYCO",2020-11-05,'The New York Times',https://twitter.com/twitter/statuses/[1324385235673534466],52,['[]']
0,Who won the elections?,RT @digimuller: Fact: No U.S. election has seen widespread fraud and it is routine for ballots to be counted after Election Day https://t.c…,2020-11-03,'Bloomberg Politics',https://twitter.com/twitter/statuses/[1323616330734542848],15,['[]']
268,Who won the elections?,Election 2020 live updates: Trump to make Election Day appeal on TV as Biden heads to Pennsylvania https://t.co/6TWxwRuFCC,2020-11-03,'The Washington Post',https://twitter.com/twitter/statuses/[1323593316366209024],52,['[]']
2,Who won the elections?,US election day 2020: voters stream to the polls to elect the next president – live updates https://t.co/W3AykdVJtv,2020-11-03,'Guardian US',https://twitter.com/twitter/statuses/[1323509210068516864],1,['[]']
