,date,favorites,hashtags,query,retweets,tweet,url
0,2020-11-03,101,['[]'],Who won the elections?,22,Election Day guide: A rundown of what you need to know about the 2020 election https://t.co/TpdRdhEVaC,https://twitter.com/twitter/statuses/1323638593001316352
1,2020-10-28,5,['[]'],Who won the elections?,4,"""Trumps election day director is waging war on the election in Philadelphia https://t.co/nAyibj5V5t""",https://twitter.com/twitter/statuses/1321394892011089923
2,2020-11-07,3637,['[]'],Who won the elections?,755,"Federal Election Commission official: ""There really has been no evidence of fraud"" in the election https://t.co/YQWb65CiNf https://t.co/RCOzAF3kSn",https://twitter.com/twitter/statuses/1325091830761984000
3,2020-11-06,0,['[]'],Who won the elections?,11,"RT @bopinion: As Election Week drags into Election Month, there are signs of hope https://t.co/9FsG3FBSmj",https://twitter.com/twitter/statuses/1324857405587546113
4,2020-11-01,7,['[]'],Who won the elections?,2,"""The 2020 election is like no other, but its still possible a winner will be known on election night. Or not. https://t.co/jIim1EzI29""",https://twitter.com/twitter/statuses/1323006670583332864
5,2020-11-29,0,"[""[{'text': 'uselectionresults', 'indices': [104, 122]}, {'text': 'TrumpIsPathetic', 'indices': [123, 139]}]""]",Who won the elections?,0,"He is delusional, he is ranting....you lost the election to President Elect Joe Biden. @realDonaldTrump #uselectionresults #TrumpIsPathetic",https://twitter.com/twitter/statuses/1333124817084674049
6,2020-11-03,133,['[]'],Who won the elections?,44,"""Fact check: President Trumps top election falsehoods to watch for on Election Day https://t.co/U7Svr8hCaj https://t.co/sudnEjelsm""",https://twitter.com/twitter/statuses/1323581462902427649
7,2020-11-02,126,['[]'],Who won the elections?,60,"""Fact check: President Trumps top election falsehoods to watch for on Election Day https://t.co/KUbIAaZYVy https://t.co/jDnRD1WOvx""",https://twitter.com/twitter/statuses/1323302121018720256
8,2020-12-06,0,"[""[{'text': '2020Election', 'indices': [70, 83]}, {'text': 'MAGA', 'indices': [84, 89]}, {'text': 'TrumpTantrum', 'indices': [90, 103]}, {'text': 'Cult45', 'indices': [104, 111]}, {'text': 'BidenHarris', 'indices': [112, 124]}, {'text': 'MyPresident', 'indices': [125, 137]}]""]",Who won the elections?,0,"Before election, after election, same crap. He and his bots gotta go. #2020Election #MAGA #TrumpTantrum #Cult45 #BidenHarris #MyPresident https://t.co/xylfR9pWKJ",https://twitter.com/twitter/statuses/1335680967529271296
9,2020-12-06,2,"[""[{'text': '2020Election', 'indices': [92, 105]}]""]",Who won the elections?,0,"""Tomorrow is an election day. Elect one girlfriend na wagyimi dodo womanizing wont help you #2020Election""",https://twitter.com/twitter/statuses/1335658950495260672
10,2020-11-05,323,['[]'],Who won the elections?,52,"Here’s where things stand on Election Day 3, when you can expect final results, and how to follow along as the election unfolds.\nhttps://t.co/XRrKVJvYCO",https://twitter.com/twitter/statuses/1324385235673534466
11,2020-11-03,0,['[]'],Who won the elections?,15,RT @digimuller: Fact: No U.S. election has seen widespread fraud and it is routine for ballots to be counted after Election Day https://t.c…,https://twitter.com/twitter/statuses/1323616330734542848
12,2020-11-03,268,['[]'],Who won the elections?,52,Election 2020 live updates: Trump to make Election Day appeal on TV as Biden heads to Pennsylvania https://t.co/6TWxwRuFCC,https://twitter.com/twitter/statuses/1323593316366209024
